               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.4634,              1.6788,              2.2745,             0.47896,             0.86429,             0.74109,             0.49582,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,              1.4973,              1.7208,              2.3049,             0.61786,             0.80669,             0.78962,             0.59183,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,                1.43,              1.6074,              2.2475,             0.48359,             0.92857,             0.76655,              0.5517,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,               1.435,              1.6111,              2.2412,             0.65686,             0.86918,             0.85653,             0.56078,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,               1.421,              1.5274,              2.2245,             0.62689,             0.94037,             0.83938,             0.62474,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,              1.4187,              1.5591,              2.2187,             0.67095,             0.99855,             0.92733,             0.60444,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,              1.4057,              1.5161,              2.2034,             0.71517,             0.81737,             0.82483,             0.56239,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,              1.4104,              1.5139,              2.1723,             0.45299,             0.83929,             0.63478,             0.41517,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,              1.4061,              1.4839,              2.1837,             0.95422,             0.66243,             0.83499,             0.62978,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,               1.394,              1.4999,              2.1862,             0.68712,             0.76714,             0.80273,             0.50774,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,              1.3759,              1.4946,              2.1444,             0.70537,              0.8805,             0.83715,             0.64668,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,              1.3957,               1.489,               2.183,             0.75413,             0.88185,              0.8513,             0.64134,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,              1.3661,              1.4266,              2.1665,             0.88244,             0.87783,             0.93902,             0.63536,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,              1.4107,               1.485,              2.1945,             0.75969,             0.92857,               0.952,             0.66653,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,              1.3591,              1.4427,              2.1806,             0.96967,             0.90062,             0.96386,             0.69833,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,              1.3716,              1.4165,              2.1374,             0.87341,             0.98607,             0.98625,             0.73364,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,              1.3791,              1.4071,              2.1627,             0.95616,             0.89311,             0.98722,             0.72264,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,              1.3389,              1.4406,              2.1452,             0.91004,             0.95536,             0.99063,             0.73425,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,               1.357,               1.435,              2.1379,             0.95866,              0.9579,             0.98835,             0.65956,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,              1.3799,              1.4562,              2.1436,             0.93141,                   1,               0.995,             0.63609,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,              1.3438,              1.3787,              2.1481,             0.90034,             0.90329,             0.97133,             0.69728,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,              1.3761,              1.4283,              2.1674,              0.8349,             0.96004,               0.995,             0.66588,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,               1.309,              1.3848,              2.1224,             0.91673,              0.9546,             0.99063,             0.73479,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,              1.3718,              1.3816,              2.1453,             0.97639,             0.99484,               0.995,             0.67861,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,              1.3053,              1.3572,              2.0827,             0.97257,             0.91756,             0.98625,             0.64036,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,              1.3516,              1.3987,              2.1291,             0.94681,             0.95589,             0.99063,             0.68243,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,              1.3153,              1.3483,              2.1197,              0.9032,             0.93103,              0.9643,             0.63989,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,              1.3265,              1.3743,              2.1173,             0.94179,             0.87822,             0.95665,             0.66043,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,              1.3521,              1.4106,              2.1185,             0.83981,             0.92711,             0.94203,             0.63762,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,              1.3519,              1.3564,              2.1246,             0.94912,             0.89191,             0.98222,              0.7108,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,               1.325,              1.3044,              2.0959,             0.96581,             0.91766,             0.98722,             0.65992,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,              1.3192,              1.3639,              2.1109,             0.94165,             0.88172,             0.97031,             0.72417,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,              1.2846,              1.3186,              2.0763,             0.92785,             0.90615,               0.995,             0.68883,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,              1.2929,              1.2645,              2.0611,             0.96612,             0.91576,              0.9845,             0.75084,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,              1.3139,               1.311,              2.1106,             0.97338,             0.88299,             0.97944,             0.69973,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,              1.3221,              1.3107,              2.1066,             0.90766,             0.86455,             0.95507,             0.59171,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,              1.2601,              1.2403,              2.0451,             0.91486,             0.95235,             0.97531,             0.70171,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,              1.2792,               1.283,              2.0516,             0.94726,             0.91831,               0.995,             0.65328,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,              1.2953,              1.2955,              2.0926,             0.96101,             0.90653,              0.9845,             0.67867,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,              1.2995,              1.2665,              2.0804,             0.90956,             0.83453,             0.93081,             0.65411,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,              1.3242,              1.3024,              2.1037,             0.94354,              0.9511,             0.99063,             0.65004,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,              1.3038,              1.2888,              2.0883,             0.94756,                   1,               0.995,             0.66268,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,              1.2421,              1.2203,              2.0312,             0.96121,             0.90364,             0.96941,             0.63002,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,              1.2818,              1.2136,              2.0526,             0.92257,             0.86686,             0.96123,              0.6718,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,              1.2507,              1.2714,              2.0372,             0.95436,             0.94612,             0.99063,             0.61961,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,              1.2353,              1.1397,              2.0115,             0.98003,             0.89874,             0.98625,             0.74655,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
