               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              4.0997,              5.6277,              5.3072,           0.0055556,                   1,            0.023455,           0.0067024,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  41,              4.1794,              5.9767,              5.5064,            0.062253,                 0.2,            0.044631,           0.0099758,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  42,              3.7805,              5.1157,              5.5066,            0.040397,                 0.4,            0.070652,            0.014234,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  43,              3.9734,              5.3485,              5.4843,             0.79737,                 0.2,             0.24829,            0.052315,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  44,              3.6637,              5.2299,              5.3879,           0.0055556,                   1,            0.093031,            0.019613,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  45,              3.8805,              5.6368,              5.3601,           0.0073148,                   1,             0.21162,            0.024715,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  46,              4.2325,               5.971,               5.419,           0.0055556,                   1,             0.13182,            0.017427,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  47,              3.8737,              5.4409,              5.3557,           0.0055556,                   1,            0.058959,           0.0096327,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  48,              4.3731,              5.8543,               5.416,           0.0055556,                   1,            0.058959,           0.0096327,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  49,              4.1029,              5.7382,              5.2361,           0.0055556,                   1,            0.067388,            0.010046,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
